dum VarMeans 0.32578121649139
ncu fracvars_pid -11.6372801191784
ncu _LINEAR_ 5.73723940265221
ncu _CONST_ 0.17341109494054
nue fracvars_pid -7.16841725984888
nue _LINEAR_ 9.38138351420784
nue _CONST_ -2.43111011400987
